Stage Name,Real Name,Group,Instagram,Profile Pic,Kpopping Profile,Bio,ID
Benji,Benjamin Jaewook Bae,B.I.G,https://www.instagram.com/baebenji92/?hl=en,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_benji.png,https://kpopping.com/profiles/artist/1433-Benji,"Benji is B.I.G's main vocalist. He is originally from the United States, and even attended the Julliard School for Violin. He is so musically inclined that he can name any chord or note just by hearing it. He often interviews Hollywood celebrities as well as other K-Pop idols. He has his own show after Show Champion called ""Curtain Talk.""",60
BeWhy,unknown,,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bewhy(1).png,https://kpopping.com/profiles/artist/1941-BeWhy,,61
BIGONE,Kim Dae Il,24K,https://www.instagram.com/bigoneisthename/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_daeilside.png,https://kpopping.com/profiles/artist/405-BIGONE,"Daeil is a former member of 24K and after leaving 24K, he became a contestant on 'Show Me the Money 6.' Currently promoting as a soloist under the name BIGONE",62
Bin,Kim Subin,H.B.Y,https://www.instagram.com/mootbin/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bin(1).png,https://kpopping.com/profiles/artist/1512-Bin,Bin is H.B.Y's leader and sub-vocalist. He used to be a soccer player before switching to be a musician. When he was young he dreamt of being a professional gamer so he signed up for a competition. It was here that he found out that it was not meant to be (he lost very badly).,63
Binnie,Bae Yoo Bin,Oh My Girl,https://www.instagram.com/wm_ohmygirl/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/pose_binnie2.png,https://kpopping.com/profiles/artist/438-Binnie,Binnie is the vocalist of the South Korean girl group Oh My Girl. She was also a child model and child actress and played minor roles.,64
Bitsaeon,Kim Sang-Yeon,M.O.N.T,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Bitsaeon_default_silhouette.png,https://kpopping.com/profiles/artist/6761-Bitsaeon,Bitsaeon is a member of the boy group M.O.N.T (Members Of the National Team).,65
Bitto,Lee Chang Hyun,UP10TION,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bitto.png,https://kpopping.com/profiles/artist/591-Bitto,"Bit-to is a member of the boy group UP10TION. He is a
singer and rapper in the group.His nickname is Sticky Rice
Cake.",66
Blacknine,unknown,,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_blacknine(1).png,https://kpopping.com/profiles/artist/1944-Blacknine,,67
BM,Matthew Kim,Kard,https://www.instagram.com/bigmatthewww/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_bmm.png,https://kpopping.com/profiles/artist/321-BM,"He is from Los Angeles. BM stands for Big Matthew. He
has two Korean names Kim JinSeok and Kim WooJin.
BM has two younger brothers. He participated in Kpop
Star. He was a trainee for 4 years and a half. He is fluent
in English. He appeared in Goo Hara’s Choco Chip
Cookies MV (was her dance partner). He represents the
letter K and the King card. BM, who is the King card,
explained that the King is the most dependable and
strong card, so he is the team’s solid foundation.",68
BoA,Kwon Boa,,http://instagram.com/boakwon,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/BoA_Pose_boasquared.png,https://kpopping.com/profiles/artist/142-BoA,BoA is a Korean solo artist under SM Entertainment. She's active in both the Korean and Japanese music industry.,69
Bobby,Kim Ji-won,iKON,https://www.instagram.com/bobbyindaeyo/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Bobby_Pose_bobbyikonsquare.png,https://kpopping.com/profiles/artist/1208-Bobby,"Bobby is a Korean rapper and model. He is part of the South Korean boy group from YG Entertainment, iKON. Bobby is also holding the champion title on Mnet rap competition Show Me the Money season 3. Bobby was born in Seoul, South Korea but later moved to Fairfax, Virginia, United States with his parents until he was in high school",70
Boho,Lee Jong Geol,M.Fect,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_boho.png,https://kpopping.com/profiles/artist/1050-Boho,Boho is a rapper in M.FECT.,71
Bom,Park Bom,2NE1,http://instagram.com/haroobommi,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Bom_Pose_pbsquare.png,https://kpopping.com/profiles/artist/64-Bom,"Park Bom better known by the mononym Bom, is a South
Korean singer. She is best known as a member of the
South Korean girl group 2NE1. The group announced their
disbandment on November 25, 2016.",72
BomB,Park Woo Young,Be.A,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bomb(1).png,https://kpopping.com/profiles/artist/2022-BomB,BornB is a member of the boy group Be.A.,73
Bomi,Yoon Bo Mi,Apink,https://www.instagram.com/__yoonbomi__/?hl=en,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Bomi_Pose_bomisquare.png,https://kpopping.com/profiles/artist/93-Bomi,"She has practiced Taekwondo, since childhood, and is also a 3rd-degree black belt. She loves to play soccer. She learnt playing the drums. (According to Bomi in Star Show 360). She was part of the girl dancing crew in BEAST/B2ST‘s “Beautiful“.",74
Bomin,Kim Bo Min,Good Day,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_bomin2.png,https://kpopping.com/profiles/artist/2788-Bomin,"Bomin is one of Good Day's vocalists. She initially
debuted as a child actor in 2011.
In 2013 she acted on the movie “No Breathing”, where
she played the younger version of SNSD Yuri.
Her role model is f(x)'s Krystal.",75
Bomin,Choi Bo Min,Golden Child,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_242138741029212_2.png,https://kpopping.com/profiles/artist/1015-Bomin,"Bo Min is a member of the group Golden Child, formerly known as the Woollim Boys.",76
